"ref_number","title","raw_text","doi","arxiv_id","year","authors","venue","article_url","has_article_url"
"44","Bag-level aggregation for multi-instance active learning in instance classification problems","Bag-level aggregation for multi-instance active learning in instance classification problems M Carbonneau E Granger G Gagnon IEEE Trans. Neural Networks Learn. Syst 30 5 2019","","","2019","['M Carbonneau', 'E Granger', 'G Gagnon']","IEEE Trans. Neural Networks Learn. Syst","",""
"45","Batchbald: Efficient and diverse batch acquisition for deep bayesian active learning","Batchbald: Efficient and diverse batch acquisition for deep bayesian active learning A Kirsch J Amersfoort Y Gal Proc. of NeurIPS of NeurIPS 2019","","1906.08158","2019","['A Kirsch', 'J Amersfoort', 'Y Gal']","Proc. of NeurIPS","https://arxiv.org/abs/1906.08158","✓"
"46","Deep reinforcement active learning for human-in-the-loop person re-identification","Deep reinforcement active learning for human-in-the-loop person re-identification Z Liu J Wang S Gong H Lu D Tao Proc. of ICCV of ICCV 2019","","","2019","['Z Liu', 'J Wang', 'S Gong', 'H Lu', 'D Tao']","Proc. of ICCV","",""
"47","Low-resource deep entity resolution with transfer and active learning","Low-resource deep entity resolution with transfer and active learning J Kasai K Qian Proc. of ACL of ACL 2019","","","2019","['J Kasai', 'K Qian']","Proc. of ACL","",""
"48","Bayesian generative active deep learning","Bayesian generative active deep learning T Tran T Do Proc. of ICML of ICML 2019","","","2019","['T Tran', 'T Do']","Proc. of ICML","",""
"49","Variational adversarial active learning","Variational adversarial active learning S Sinha S Ebrahimi T Darrell Proc. of ICCV of ICCV 2019","","","2019","['S Sinha', 'S Ebrahimi', 'T Darrell']","Proc. of ICCV","",""
"50","Active adversarial domain adaptation","Active adversarial domain adaptation J.-C Su Y.-H Tsai K Sohn B Liu Proc. of WACV of WACV 2020","","","2020","['J.-C Su', 'Y.-H Tsai', 'K Sohn', 'B Liu']","Proc. of WACV","",""
"51","Consistency-based semi-supervised active learning: Towards minimizing labeling cost","Consistency-based semi-supervised active learning: Towards minimizing labeling cost M Gao Z Zhang Proc. of ECCV of ECCV 2020","","","2020","['M Gao', 'Z Zhang']","Proc. of ECCV","",""
"52","State-relabeling adversarial active learning","State-relabeling adversarial active learning B Zhang L Li Proc. of CVPR of CVPR 2020","","","2020","['B Zhang', 'L Li']","Proc. of CVPR","",""
"53","Active learning for bert an empirical study","Active learning for bert an empirical study L Dor A Halfon Proc. of EMNLP of EMNLP 2020","","","2020","['L Dor', 'A Halfon']","Proc. of EMNLP","",""
"54","Semi-supervised active learning with temporal output discrepancy","Semi-supervised active learning with temporal output discrepancy S Huang T Wang Proc. of ICCV of ICCV 2021","","","2021","['S Huang', 'T Wang']","Proc. of ICCV","",""
"55","Batch active learning at scale","Batch active learning at scale G Citovsky G Desalvo C Gentile L Karydas A Rajagopalan A Rostamizadeh S Kumar Proc. of NeurIPS of NeurIPS 2021","","","2021","['G Citovsky', 'G Desalvo', 'C Gentile', 'L Karydas', 'A Rajagopalan', 'A Rostamizadeh', 'S Kumar']","Proc. of NeurIPS","",""
"56","LADA: look-ahead data acquisition via augmentation for deep active learning","LADA: look-ahead data acquisition via augmentation for deep active learning Y Kim K Song J Jang I Moon Proc. of NeurIPS of NeurIPS 2021","","","2021","['Y Kim', 'K Song', 'J Jang', 'I Moon']","Proc. of NeurIPS","",""
"57","Task-aware variational adversarial active learning","Task-aware variational adversarial active learning K Kim D Park Proc. of CVPR of CVPR 2021","","","2021","['K Kim', 'D Park']","Proc. of CVPR","",""
"58","Mind your outliers! investigating the negative impact of outliers on active learning for visual question answering","Mind your outliers! investigating the negative impact of outliers on active learning for visual question answering K Siddharth K Ranjay Proc. of ACL of ACL 2021","","","2021","['K Siddharth', 'K Ranjay']","Proc. of ACL","",""
"59","Few-shot initializing of active learner via meta-learning","Few-shot initializing of active learner via meta-learning Z Zhue V Yadav Proc. of EMNLP of EMNLP 2022","","","2022","['Z Zhue', 'V Yadav']","Proc. of EMNLP","",""
"60","Low-resource interactive active labeling for fine-tuning language models","Low-resource interactive active labeling for fine-tuning language models S Maekawa D Zhang Proc. of EMNLP of EMNLP 2022","","","2022","['S Maekawa', 'D Zhang']","Proc. of EMNLP","",""
"61","Revisiting uncertainty-based query strategies for active learning with transformers","Revisiting uncertainty-based query strategies for active learning with transformers C Schröder A Niekler M Potthast Findings of ACL 2022","","","2022","['C Schröder', 'A Niekler', 'M Potthast']","Findings of ACL","",""
"62","Fast active learning for pure exploration in reinforcement learning","Fast active learning for pure exploration in reinforcement learning P Menard O Domingues Proc. of ICML of ICML 2021","","","2021","['P Menard', 'O Domingues']","Proc. of ICML","",""
"63","Learning multiple layers of features from tiny images","Learning multiple layers of features from tiny images A Krizhevsky G Hinton 2009","","","2009","['A Krizhevsky', 'G Hinton']","Learning multiple layers of features from tiny images","",""
"64","Reading digits in natural images with unsupervised feature learning","Reading digits in natural images with unsupervised feature learning Y Netzer T Wang A Coates 2011","","","2011","['Y Netzer', 'T Wang', 'A Coates']","Reading digits in natural images with unsupervised feature learning","http://ufldl.stanford.edu/housenumbers/","✓"
"65","Imagenet: A large-scale hierarchical image database","Imagenet: A large-scale hierarchical image database J Deng W Dong Proc. of CVPR of CVPR 2009","","","2009","['J Deng', 'W Dong']","Proc. of CVPR","",""
"66","Microsoft coco: Common objects in context","Microsoft coco: Common objects in context T.-Y Lin M Maire Proc. of ECCV of ECCV 2014","","","2014","['T.-Y Lin', 'M Maire']","Proc. of ECCV","",""
"67","The cityscapes dataset for semantic urban scene understanding","The cityscapes dataset for semantic urban scene understanding M Cordts M Omran Proc. of CVPR of CVPR 2016","","","2016","['M Cordts', 'M Omran']","Proc. of CVPR","",""
"68","Learning generative visual models from few training examples: An incremental bayesian approach tested on 101 object categories","Learning generative visual models from few training examples: An incremental bayesian approach tested on 101 object categories L Fei-Fei R Fergus P Perona Proc. of CVPR of CVPR 2004","","","2004","['L Fei-Fei', 'R Fergus', 'P Perona']","Proc. of CVPR","",""
"69","Recursive deep models for semantic compositionality over a sentiment treebank","Recursive deep models for semantic compositionality over a sentiment treebank R Socher A Perelygin Proc. of EMNLP of EMNLP 2013","","","2013","['R Socher', 'A Perelygin']","Proc. of EMNLP","",""
"70","Learning question classifiers","Learning question classifiers X Li D Roth Proc. of COLING of COLING 2002","","","2002","['X Li', 'D Roth']","Proc. of COLING","",""
"71","A large annotated corpus for learning natural language inference","A large annotated corpus for learning natural language inference S R Bowman G Angeli C Potts C D Manning Proc. of EMNLP of EMNLP 2015","","","2015","['S R Bowman', 'G Angeli', 'C Potts', 'C D Manning']","Proc. of EMNLP","",""
"72","Learning word vectors for sentiment analysis","Learning word vectors for sentiment analysis A Maas R E Daly Proc. of ACL of ACL 2011","","","2011","['A Maas', 'R E Daly']","Proc. of ACL","",""
"73","Character-level convolutional networks for text classification","Character-level convolutional networks for text classification X Zhang J Zhao Y Lecun Proc. of NeurIPS of NeurIPS 2015","","1509.01626","2015","['X Zhang', 'J Zhao', 'Y Lecun']","Proc. of NeurIPS","https://arxiv.org/abs/1509.01626","✓"
"74","Collective classification in network data","Collective classification in network data P Sen G Namata AI magazine 29 3 2008","","","2008","['P Sen', 'G Namata']","AI magazine","",""
"75","Youtube-8m: A large-scale video classification benchmark","Youtube-8m: A large-scale video classification benchmark S Abu-El-Haija N Kothari 2016 arXiv","","1609.08675","2016","['S Abu-El-Haija', 'N Kothari']","Youtube-8m: A large-scale video classification benchmark","https://arxiv.org/abs/1609.08675","✓"
"76","Mimic-iii, a freely accessible critical care database","Mimic-iii, a freely accessible critical care database A E Johnson T J Pollard Scientific data 3 1 2016","","","2016","['A E Johnson', 'T J Pollard']","Scientific data","",""
"77","Activeanno: General-purpose document-level annotation tool with active learning integration","Activeanno: General-purpose document-level annotation tool with active learning integration M Wiechmann S Yimam Proc. of NAACL of NAACL 2021","","","2021","['M Wiechmann', 'S Yimam']","Proc. of NAACL","",""
"78","Redal: Region-based and diversity-aware active learning for point cloud semantic segmentation","Redal: Region-based and diversity-aware active learning for point cloud semantic segmentation T Wu Y Liu Proc. of ICCV of ICCV 2021","","","2021","['T Wu', 'Y Liu']","Proc. of ICCV","",""
"79","Targeted active learning for object detection with rare classes and slices using submodular mutual information","Targeted active learning for object detection with rare classes and slices using submodular mutual information S Kothawade S Ghosh Proc. of ECCV of ECCV 2022","","","2022","['S Kothawade', 'S Ghosh']","Proc. of ECCV","",""
"80","Towards fewer annotations: Active learning via region impurity and prediction uncertainty for domain adaptive semantic segmentation","Towards fewer annotations: Active learning via region impurity and prediction uncertainty for domain adaptive semantic segmentation B Xie L Yuan Proc. of CVPR of CVPR 2022","","","2022","['B Xie', 'L Yuan']","Proc. of CVPR","",""
"81","Active multilabel crowd consensus","Active multilabel crowd consensus G Yu J Tu J Wang C Domeniconi X Zhang IEEE Trans. Neural Networks Learn. Syst 32 4 2021","","","2021","['G Yu', 'J Tu', 'J Wang', 'C Domeniconi', 'X Zhang']","IEEE Trans. Neural Networks Learn. Syst","",""
"82","Supporting land reuse of former open pit mining sites using text classification and active learning","Supporting land reuse of former open pit mining sites using text classification and active learning C Schröder K Bürgl Proc. of ACL of ACL 2021","","","2021","['C Schröder', 'K Bürgl']","Proc. of ACL","",""
"83","Active learning with query generation for cost-effective text classification","Active learning with query generation for cost-effective text classification Y Yan S Huang Proc. of AAAI of AAAI 2020","","","2020","['Y Yan', 'S Huang']","Proc. of AAAI","",""
