ref_id,ref_number,title,year,doi,arxiv_id,venue,first_author,authors,article_url,pdf_url,additional_urls
,1,A comprehensive survey on graph neural networks,2021,,,IEEE Trans. Neural Networks Learn. Syst,"['Z Wu', 'S Pan', 'F Chen', 'G Long', 'C Zhang', 'P S Yu']","['Z Wu', 'S Pan', 'F Chen', 'G Long', 'C Zhang', 'P S Yu']",https://arxiv.org/abs/1901.00596,http://arxiv.org/pdf/1901.00596v4,"[""http://arxiv.org/abs/1901.00596v4"", ""http://arxiv.org/pdf/1901.00596v4""]"
,2,Efficient active learning by querying discriminative and representative samples and fully exploiting unlabeled data,2021,,,IEEE Trans. Neural Networks Learn. Syst,"['B Gu', 'Z Zhai', 'C Deng', 'H Huang']","['B Gu', 'Z Zhai', 'C Deng', 'H Huang']",,,"[""https://www.semanticscholar.org/paper/a4384a2db6b8ebcab30e0a495ff5789e4b3ad142"", ""https://see.xidian.edu.cn/faculty/chdeng/Welcome%20to%20Cheng%20Deng's%20Homepage_files/Papers/Journal/TNNLS2020_Bin.pdf""]"
,3,Shattering distribution for active learning,2022,,,IEEE Trans. Neural Networks Learn. Syst,"['X Cao', 'I Tsang']","['X Cao', 'I Tsang']",https://opus.lib.uts.edu.au/bitstream/10453/148262/4/9B18871D-F72F-4437-891F-7FAA000D7A47%20am1,https://opus.lib.uts.edu.au/bitstream/10453/148262/4/9B18871D-F72F-4437-891F-7FAA000D7A47%20am1.pdf,"[""https://www.semanticscholar.org/paper/e6226380af685de1a4f8793bc3b08065825291ea"", ""https://opus.lib.uts.edu.au/bitstream/10453/148262/4/9B18871D-F72F-4437-891F-7FAA000D7A47%20am1.pdf""]"
,4,Online active learning for drifting data streams,2023,,,IEEE Trans. Neural Networks Learn. Syst,"['S Liu', 'S Xue', 'J Wu', 'C Zhou', 'J Yang', 'Z Li', 'J Cao']","['S Liu', 'S Xue', 'J Wu', 'C Zhou', 'J Yang', 'Z Li', 'J Cao']",,,"[""https://www.semanticscholar.org/paper/cae890cfce1fa6fa66fa910f9fb55214fef8294d""]"
,5,Semi-supervised classification with graph convolutional networks,2017,,,Proc. of of ICLR,"['T N Kipf', 'M Welling']","['T N Kipf', 'M Welling']",https://openreview.net/forum?id=SJU4ayYgl,http://arxiv.org/pdf/1609.02907v4,"[""http://arxiv.org/abs/1609.02907v4"", ""http://arxiv.org/pdf/1609.02907v4""]"
,6,Gradient-based learning applied to document recognition,1998,,,Proceedings of the IEEE,"['Y Lecun', 'L Bottou', 'Y Bengio', 'P Haffner']","['Y Lecun', 'L Bottou', 'Y Bengio', 'P Haffner']",,https://hal.science/hal-03926082/document,"[""https://doi.org/10.1109/5.726791"", ""https://hal.science/hal-03926082/document""]"
,7,Attention is all you need,2017,,,Proc. of NeurIPS,"['A Vaswani', 'N Shazeer']","['A Vaswani', 'N Shazeer']",https://arxiv.org/abs/1706.03762,http://arxiv.org/pdf/1706.03762v7,"[""http://arxiv.org/abs/1706.03762v7"", ""http://arxiv.org/pdf/1706.03762v7""]"
,8,Learning transferable visual models from natural language supervision,2021,,,Proc. of ICML,"['A Radford', 'J W Kim']","['A Radford', 'J W Kim']",https://arxiv.org/abs/2103.00020,http://arxiv.org/pdf/2103.00020v1,"[""http://arxiv.org/abs/2103.00020v1"", ""http://arxiv.org/pdf/2103.00020v1""]"
,9,GPT-4 technical report,2023,,,CoRR,['Openai'],['Openai'],https://openai.com/research/gpt-4,http://arxiv.org/pdf/2303.08774v6,"[""http://arxiv.org/abs/2303.08774v6"", ""http://arxiv.org/pdf/2303.08774v6""]"
,10,Curriculum learning,2009,,,Proc. of ICML,"['Y Bengio', 'J Louradour', 'R Collobert', 'J Weston']","['Y Bengio', 'J Louradour', 'R Collobert', 'J Weston']",https://cognitivemedium.com/assets/rmnist/Bengio2009,https://cognitivemedium.com/assets/rmnist/Bengio2009.pdf,"[""https://www.semanticscholar.org/paper/8de174ab5419b9d3127695405efd079808e956e8""]"
,11,Transfer learning for visual categorization: A survey,2015,,,IEEE Trans. Neural Networks Learn. Syst,"['L Shao', 'F Zhu', 'X Li']","['L Shao', 'F Zhu', 'X Li']",,,"[""https://doi.org/10.1109/tnnls.2014.2330900"", ""http://ir.opt.ac.cn/handle/181661/25044""]"
,12,When active learning meets implicit semantic data augmentation,2022,,,Proc. of ECCV,"['Z Chen', 'J Zhang']","['Z Chen', 'J Zhang']",,,[]
,13,Dataset pruning: Reducing training data by examining generalization influence,2023,,,Proc. of ICLR,"['S Yang', 'Z Xie']","['S Yang', 'Z Xie']",https://openreview.net/forum?id=4wZiAXD29TQ,https://arxiv.org/pdf/2205.09329,"[""http://arxiv.org/abs/2205.09329"", ""https://arxiv.org/pdf/2205.09329""]"
,14,Active learning for lane detection: A knowledge distillation approach,2021,,,Proc. of ICCV,"['F Peng', 'C Wang']","['F Peng', 'C Wang']",,,"[""http://openaccess.thecvf.com/content/ICCV2021/papers/Peng_Active_Learning_for_Lane_Detection_A_Knowledge_Distillation_Approach_ICCV_2021_paper.pdf""]"
,15,A survey of active learning for natural language processing,2022,,,Proc. of EMNLP,"['Z Zhang', 'E Strubell', 'E H Hovy']","['Z Zhang', 'E Strubell', 'E H Hovy']",https://arxiv.org/abs/2210.10109,http://arxiv.org/pdf/2210.10109v2,"[""http://arxiv.org/abs/2210.10109v2"", ""http://arxiv.org/pdf/2210.10109v2""]"
2104.07784,16,A survey of active learning algorithms for supervised remote sensing image classification,2021,,2104.07784,A survey of active learning algorithms for supervised remote sensing image classification,"['D Tuia', 'M Volpi', 'L Copa', 'M F Kanevski', 'J Muñoz-Marí']","['D Tuia', 'M Volpi', 'L Copa', 'M F Kanevski', 'J Muñoz-Marí']",https://arxiv.org/abs/2104.07784,http://arxiv.org/pdf/2104.07784v1,"[""http://arxiv.org/abs/2104.07784v1""]"
2310.1423,17,A comprehensive survey on deep active learning and its applications in medical image analysis,2023,10.48550/arxiv.2310.14230,2310.1423,CoRR,"['H Wang', 'Q Jin']","['H Wang', 'Q Jin']",https://doi.org/10.48550/arXiv.2310.14230,https://arxiv.org/pdf/2310.14230,"[""http://arxiv.org/abs/2310.14230"", ""https://arxiv.org/pdf/2310.14230""]"
,18,Active learning in noisy conditions for spoken language understanding,2014,,,Proc. of ACL,"['H Hadian', 'H Sameti']","['H Hadian', 'H Sameti']",,,"[""https://www.semanticscholar.org/paper/935aaeda5f5eb1b487bee4de4ab932f31816591c""]"
,19,A survey on active learning and humanin-the-loop deep learning for medical image analysis,2021,,,Medical Image Anal,"['S Budd', 'E Robinson']","['S Budd', 'E Robinson']",,,"[""http://spiral.imperial.ac.uk/bitstream/10044/1/87353/2/Deep_Active_HITL__Arxiv_Copy___Revision_2_Copy_.pdf""]"
,20,Deep active learning for computer vision past and future,2022,,,CoRR,"['R Takezoe', 'X Liu']","['R Takezoe', 'X Liu']",https://arxiv.org/abs/2211.14819,http://arxiv.org/pdf/2211.14819v2,"[""http://arxiv.org/abs/2211.14819v2"", ""http://arxiv.org/pdf/2211.14819v2""]"
,21,A comparative survey: Benchmarking for pool-based active learning,2021,,,Proc. of IJCAI,"['X Zhan', 'H Liu']","['X Zhan', 'H Liu']",https://www.ijcai.org/proceedings/2021/0634,https://www.ijcai.org/proceedings/2021/0634.pdf,"[""https://www.semanticscholar.org/paper/3f26d978a30d612dac02737b44ba0fa185cf7094"", ""https://www.ijcai.org/proceedings/2021/0634.pdf""]"
2203.1345,22,A comparative survey of deep active learning,2022,,2203.1345,CoRR,"['X Zhan', 'Q Wang']","['X Zhan', 'Q Wang']",https://arxiv.org/abs/2203.13450,http://arxiv.org/pdf/2203.13450v3,"[""http://arxiv.org/abs/2203.13450v3"", ""http://arxiv.org/pdf/2203.13450v3""]"
,23,A survey on instance selection for active learning,2013,,,Knowl. Inf. Syst,"['Y Fu', 'X Zhu', 'B Li']","['Y Fu', 'X Zhu', 'B Li']",,,"[""https://www.semanticscholar.org/paper/e9692448ebed3c5eb5636f8c2825b334b3849b04"", ""https://www.cse.fau.edu/~xqzhu/papers/KAIS.Fu.2013.Active.pdf""]"
,24,Active learning: A survey,2014,,,Data Classification,"['C Aggarwal', 'X Kong']","['C Aggarwal', 'X Kong']",https://charuaggarwal.net/,,"[""https://www.semanticscholar.org/paper/5ab9cf25f3f2944efea77df77cf5c102020bc6d3""]"
,25,"A survey on active learning: State-of-theart, practical challenges and research directions",2023,,,Mathematics,"['A Tharwat', 'W Schenck']","['A Tharwat', 'W Schenck']",,,"[""https://www.mdpi.com/2227-7390/11/4/820/pdf?version=1675678080""]"
,26,A survey of deep active learning,2022,,,ACM Comput. Surv,"['P Ren', 'Y Xiao']","['P Ren', 'Y Xiao']",https://arxiv.org/abs/2009.00236,http://arxiv.org/pdf/2009.00236v2,"[""http://arxiv.org/abs/2009.00236v2"", ""http://arxiv.org/pdf/2009.00236v2""]"
,27,A survey on active deep learning: From model driven to data driven,2022,,,ACM Comput. Surv,"['P Liu', 'L Wang']","['P Liu', 'L Wang']",https://dl.acm.org/doi/10.1145/3510414,https://dl.acm.org/doi/pdf/10.1145/3510414,"[""https://www.semanticscholar.org/paper/affdf61e94b1574ec5c1379faa55b3a6e8f628e8"", ""https://dl.acm.org/doi/pdf/10.1145/3510414""]"
,28,Active learning for data a survey,2024,,,Mach. Learn,"['D Cacciarelli', 'M Kulahci']","['D Cacciarelli', 'M Kulahci']",,,"[""https://link.springer.com/content/pdf/10.1007/s10994-023-06454-2.pdf""]"
,29,On the importance of effectively adapting pretrained language models for active learning,2022,,,Proceedings of ACL,"['K Margatina', 'L Barrault', 'N Aletras']","['K Margatina', 'L Barrault', 'N Aletras']",,,"[""https://doi.org/10.18653/v1/2022.acl-short.93"", ""https://aclanthology.org/2022.acl-short.93.pdf""]"
,30,Few-shot continual active learning by a robot,2022,,,Prof. NeurIPS,"['A Ayub', 'C Fendley']","['A Ayub', 'C Fendley']",https://arxiv.org/abs/2210.04137,http://arxiv.org/pdf/2210.04137v2,"[""http://arxiv.org/abs/2210.04137v2"", ""http://arxiv.org/pdf/2210.04137v2""]"
,31,Cold-start active learning through self-supervised language modeling,2020,,,Proc. of EMNLP,"['M Yuan', 'H.-T Lin', 'J Boyd-Graber']","['M Yuan', 'H.-T Lin', 'J Boyd-Graber']",,,"[""https://doi.org/10.18653/v1/2020.emnlp-main.637"", ""https://www.aclweb.org/anthology/2020.emnlp-main.637.pdf""]"
,32,Active learning on pre-trained language model with task-independent triplet loss,2022,,,Proc. of AAAI,"['S Seo', 'D Kim', 'Y Ahn', 'K Lee']","['S Seo', 'D Kim', 'Y Ahn', 'K Lee']",,https://ojs.aaai.org/index.php/AAAI/article/download/21378/21127,"[""https://www.semanticscholar.org/paper/4496f4817a91e5002207da28be3b14d55e51ca6a"", ""https://ojs.aaai.org/index.php/AAAI/article/download/21378/21127""]"
,33,Active learning principles for in-context learning with large language models,2023,,,Findings of EMNLP,"['K Margatina', 'T Schick', 'N Aletras', 'J Dwivedi-Yu']","['K Margatina', 'T Schick', 'N Aletras', 'J Dwivedi-Yu']",,,"[""https://doi.org/10.18653/v1/2023.findings-emnlp.334"", ""https://aclanthology.org/2023.findings-emnlp.334.pdf""]"
1506.02158,34,Bayesian convolutional neural networks with bernoulli approximate variational inference,2016,,1506.02158,Proc. of ICLR,"['Y Gal', 'Z Ghahramani']","['Y Gal', 'Z Ghahramani']",https://arxiv.org/abs/1506.02158,http://arxiv.org/pdf/1506.02158v6,"[""http://arxiv.org/abs/1506.02158v6""]"
,35,Deep bayesian active learning with image data,2017,,,Proc. of ICML,"['Y Gal', 'R Islam']","['Y Gal', 'R Islam']",https://arxiv.org/abs/1703.02910,http://arxiv.org/pdf/1703.02910v1,"[""http://arxiv.org/abs/1703.02910v1"", ""http://arxiv.org/pdf/1703.02910v1""]"
,36,Cost-effective active learning for deep image classification,2017,,,IEEE Trans. Circuits Syst. Video Technol,"['K Wang', 'D Zhang']","['K Wang', 'D Zhang']",https://arxiv.org/abs/1701.03551,http://arxiv.org/pdf/1701.03551v1,"[""http://arxiv.org/abs/1701.03551v1"", ""http://arxiv.org/pdf/1701.03551v1""]"
1612.01474,37,Simple and scalable predictive uncertainty estimation using deep ensembles,2017,,1612.01474,Proc. of NeurIPS,"['L Balaji', 'A Pritzel']","['L Balaji', 'A Pritzel']",https://arxiv.org/abs/1612.01474,http://arxiv.org/pdf/1612.01474v3,"[""http://arxiv.org/abs/1612.01474v3"", ""http://arxiv.org/pdf/1612.01474v3""]"
,38,Learning how to active learn: A deep reinforcement learning approach,2017,,,Proc. of EMNLP,"['M Fang', 'Y Li', 'T Cohn']","['M Fang', 'Y Li', 'T Cohn']",,,"[""https://doi.org/10.18653/v1/d17-1063"", ""https://www.aclweb.org/anthology/D17-1063.pdf""]"
1703.03365,39,Learning active learning from data,2017,,1703.03365,Proc. of NeurIPS,"['K Konyushkova', 'R Sznitman', 'P Fua']","['K Konyushkova', 'R Sznitman', 'P Fua']",https://arxiv.org/abs/1703.03365,http://arxiv.org/pdf/1703.03365v3,"[""http://arxiv.org/abs/1703.03365v3""]"
1702.07956,40,Generative adversarial active learning,2017,,1702.07956,Generative adversarial active learning,"['J Zhu', 'J Bento']","['J Zhu', 'J Bento']",https://arxiv.org/abs/1702.07956,http://arxiv.org/pdf/1702.07956v5,"[""http://arxiv.org/abs/1702.07956v5""]"
,41,Active learning for convolutional neural networks: A core-set approach,2018,,,Proc. of ICLR,"['O Sener', 'S Savarese']","['O Sener', 'S Savarese']",https://openreview.net/forum?id=H1aIuk-RW,,"[""https://www.semanticscholar.org/paper/c342c71cb23199f112d0bc644fcce56a7306bf94""]"
1802.09841,42,Adversarial active learning for deep networks: a margin based approach,2018,,1802.09841,Adversarial active learning for deep networks: a margin based approach,"['M Ducoffe', 'F Precioso']","['M Ducoffe', 'F Precioso']",https://arxiv.org/abs/1802.09841,http://arxiv.org/pdf/1802.09841v1,"[""http://arxiv.org/abs/1802.09841v1""]"
,43,Costeffective object detection: Active sample mining with switchable selection criteria,2019,,,IEEE Trans. Neural Networks Learn. Syst,"['K Wang', 'L Lin', 'X Yan', 'Z Chen', 'D Zhang', 'L Zhang']","['K Wang', 'L Lin', 'X Yan', 'Z Chen', 'D Zhang', 'L Zhang']",,,[]
,44,Bag-level aggregation for multi-instance active learning in instance classification problems,2019,,,IEEE Trans. Neural Networks Learn. Syst,"['M Carbonneau', 'E Granger', 'G Gagnon']","['M Carbonneau', 'E Granger', 'G Gagnon']",,,[]
1906.08158,45,Batchbald: Efficient and diverse batch acquisition for deep bayesian active learning,2019,,1906.08158,Proc. of NeurIPS,"['A Kirsch', 'J Amersfoort', 'Y Gal']","['A Kirsch', 'J Amersfoort', 'Y Gal']",https://arxiv.org/abs/1906.08158,http://arxiv.org/pdf/1906.08158v2,"[""http://arxiv.org/abs/1906.08158v2"", ""http://arxiv.org/pdf/1906.08158v2""]"
,46,Deep reinforcement active learning for human-in-the-loop person re-identification,2019,,,Proc. of ICCV,"['Z Liu', 'J Wang', 'S Gong', 'H Lu', 'D Tao']","['Z Liu', 'J Wang', 'S Gong', 'H Lu', 'D Tao']",https://qmro.qmul.ac.uk/xmlui/bitstream/123456789/64521/2/Gong%20Deep%20reinforcement%20active%202020%20Accepted,https://qmro.qmul.ac.uk/xmlui/bitstream/123456789/64521/2/Gong%20Deep%20reinforcement%20active%202020%20Accepted.pdf,"[""https://www.semanticscholar.org/paper/ba5069f5a4f19005ab741b6cac4690e7c603472d"", ""https://qmro.qmul.ac.uk/xmlui/bitstream/123456789/64521/2/Gong%20Deep%20reinforcement%20active%202020%20Accepted.pdf""]"
,47,Low-resource deep entity resolution with transfer and active learning,2019,,,Proc. of ACL,"['J Kasai', 'K Qian']","['J Kasai', 'K Qian']",,,"[""https://doi.org/10.18653/v1/p19-1586"", ""https://www.aclweb.org/anthology/P19-1586.pdf""]"
,48,Bayesian generative active deep learning,2019,,,Proc. of ICML,"['T Tran', 'T Do']","['T Tran', 'T Do']",https://arxiv.org/abs/1904.11643,http://arxiv.org/pdf/1904.11643v1,"[""http://arxiv.org/abs/1904.11643v1"", ""http://arxiv.org/pdf/1904.11643v1""]"
,49,Variational adversarial active learning,2019,,,Proc. of ICCV,"['S Sinha', 'S Ebrahimi', 'T Darrell']","['S Sinha', 'S Ebrahimi', 'T Darrell']",https://arxiv.org/abs/1904.00370,http://arxiv.org/pdf/1904.00370v3,"[""http://arxiv.org/abs/1904.00370v3"", ""http://arxiv.org/pdf/1904.00370v3""]"
,50,Active adversarial domain adaptation,2020,,,Proc. of WACV,"['J.-C Su', 'Y.-H Tsai', 'K Sohn', 'B Liu']","['J.-C Su', 'Y.-H Tsai', 'K Sohn', 'B Liu']",https://arxiv.org/abs/1904.07848,http://arxiv.org/pdf/1904.07848v2,"[""http://arxiv.org/abs/1904.07848v2"", ""http://arxiv.org/pdf/1904.07848v2""]"
,51,Consistency-based semi-supervised active learning: Towards minimizing labeling cost,2020,,,Proc. of ECCV,"['M Gao', 'Z Zhang']","['M Gao', 'Z Zhang']",https://arxiv.org/abs/1910.07153,http://arxiv.org/pdf/1910.07153v2,"[""http://arxiv.org/abs/1910.07153v2"", ""http://arxiv.org/pdf/1910.07153v2""]"
,52,State-relabeling adversarial active learning,2020,,,Proc. of CVPR,"['B Zhang', 'L Li']","['B Zhang', 'L Li']",https://arxiv.org/abs/2004.04943,https://arxiv.org/pdf/2004.04943,"[""http://arxiv.org/abs/2004.04943"", ""https://arxiv.org/pdf/2004.04943""]"
,53,Active learning for bert an empirical study,2020,,,Proc. of EMNLP,"['L Dor', 'A Halfon']","['L Dor', 'A Halfon']",https://www.aclweb.org/anthology/2020.emnlp-main.638,https://www.aclweb.org/anthology/2020.emnlp-main.638.pdf,"[""https://www.semanticscholar.org/paper/05c22ede1e011c551ab0639ef52c8c852d7833b1"", ""https://www.aclweb.org/anthology/2020.emnlp-main.638.pdf""]"
,54,Semi-supervised active learning with temporal output discrepancy,2021,,,Proc. of ICCV,"['S Huang', 'T Wang']","['S Huang', 'T Wang']",https://arxiv.org/abs/2107.14153,http://arxiv.org/pdf/2107.14153v1,"[""http://arxiv.org/abs/2107.14153v1"", ""http://arxiv.org/pdf/2107.14153v1""]"
,55,Batch active learning at scale,2021,,,Proc. of NeurIPS,"['G Citovsky', 'G Desalvo', 'C Gentile', 'L Karydas', 'A Rajagopalan', 'A Rostamizadeh', 'S Kumar']","['G Citovsky', 'G Desalvo', 'C Gentile', 'L Karydas', 'A Rajagopalan', 'A Rostamizadeh', 'S Kumar']",https://arxiv.org/abs/2107.14263,https://arxiv.org/pdf/2107.14263,"[""http://arxiv.org/abs/2107.14263""]"
,56,LADA: look-ahead data acquisition via augmentation for deep active learning,2021,,,Proc. of NeurIPS,"['Y Kim', 'K Song', 'J Jang', 'I Moon']","['Y Kim', 'K Song', 'J Jang', 'I Moon']",https://arxiv.org/abs/2011.04194,https://arxiv.org/pdf/2011.04194,"[""https://arxiv.org/pdf/2011.04194""]"
,57,Task-aware variational adversarial active learning,2021,,,Proc. of CVPR,"['K Kim', 'D Park']","['K Kim', 'D Park']",https://arxiv.org/abs/2002.04709,http://arxiv.org/pdf/2002.04709v2,"[""http://arxiv.org/abs/2002.04709v2"", ""http://arxiv.org/pdf/2002.04709v2""]"
,58,Mind your outliers! investigating the negative impact of outliers on active learning for visual question answering,2021,,,Proc. of ACL,"['K Siddharth', 'K Ranjay']","['K Siddharth', 'K Ranjay']",https://arxiv.org/abs/2107.02331,http://arxiv.org/pdf/2107.02331v1,"[""http://arxiv.org/abs/2107.02331v1"", ""http://arxiv.org/pdf/2107.02331v1""]"
,59,Few-shot initializing of active learner via meta-learning,2022,,,Proc. of EMNLP,"['Z Zhue', 'V Yadav']","['Z Zhue', 'V Yadav']",https://aclanthology.org/2022.findings-emnlp.80,https://aclanthology.org/2022.findings-emnlp.80.pdf,"[""https://www.semanticscholar.org/paper/9dfad969304fa75ff8e612e9f051e1795ef22f66"", ""https://aclanthology.org/2022.findings-emnlp.80.pdf""]"
,60,Low-resource interactive active labeling for fine-tuning language models,2022,,,Proc. of EMNLP,"['S Maekawa', 'D Zhang']","['S Maekawa', 'D Zhang']",https://aclanthology.org/2022.findings-emnlp.235,https://aclanthology.org/2022.findings-emnlp.235.pdf,"[""https://www.semanticscholar.org/paper/1ca1a371f8cbfb714126350afd5225eafe7f65ce"", ""https://aclanthology.org/2022.findings-emnlp.235.pdf""]"
,61,Revisiting uncertainty-based query strategies for active learning with transformers,2022,,,Findings of ACL,"['C Schröder', 'A Niekler', 'M Potthast']","['C Schröder', 'A Niekler', 'M Potthast']",,,"[""https://doi.org/10.18653/v1/2022.findings-acl.172"", ""https://aclanthology.org/2022.findings-acl.172.pdf""]"
,62,Fast active learning for pure exploration in reinforcement learning,2021,,,Proc. of ICML,"['P Menard', 'O Domingues']","['P Menard', 'O Domingues']",https://arxiv.org/abs/2007.13442,https://arxiv.org/pdf/2007.13442,"[""http://arxiv.org/abs/2007.13442"", ""https://arxiv.org/pdf/2007.13442""]"
,63,Learning multiple layers of features from tiny images,2009,,,Learning multiple layers of features from tiny images,"['A Krizhevsky', 'G Hinton']","['A Krizhevsky', 'G Hinton']",,,"[""https://www.semanticscholar.org/paper/5d90f06bb70a0a3dced62413346235c02b1aa086""]"
,64,Reading digits in natural images with unsupervised feature learning,2011,,,Reading digits in natural images with unsupervised feature learning,"['Y Netzer', 'T Wang', 'A Coates']","['Y Netzer', 'T Wang', 'A Coates']",http://ufldl.stanford.edu/housenumbers/,,"[""https://www.semanticscholar.org/paper/02227c94dd41fe0b439e050d377b0beb5d427cda""]"
,65,Imagenet: A large-scale hierarchical image database,2009,,,Proc. of CVPR,"['J Deng', 'W Dong']","['J Deng', 'W Dong']",,,"[""http://www.image-net.org/papers/imagenet_cvpr09.pdf""]"
,66,Microsoft coco: Common objects in context,2014,,,Proc. of ECCV,"['T.-Y Lin', 'M Maire']","['T.-Y Lin', 'M Maire']",https://link.springer.com/content/pdf/10.1007%2F978-3-319-10602-1_48,https://link.springer.com/content/pdf/10.1007%2F978-3-319-10602-1_48.pdf,"[""https://doi.org/10.1007/978-3-319-10602-1_48"", ""https://link.springer.com/content/pdf/10.1007%2F978-3-319-10602-1_48.pdf""]"
,67,The cityscapes dataset for semantic urban scene understanding,2016,,,Proc. of CVPR,"['M Cordts', 'M Omran']","['M Cordts', 'M Omran']",https://arxiv.org/abs/1604.01685,http://arxiv.org/pdf/1604.01685v2,"[""http://arxiv.org/abs/1604.01685v2"", ""http://arxiv.org/pdf/1604.01685v2""]"
,68,Learning generative visual models from few training examples: An incremental bayesian approach tested on 101 object categories,2004,,,Proc. of CVPR,"['L Fei-Fei', 'R Fergus', 'P Perona']","['L Fei-Fei', 'R Fergus', 'P Perona']",,,"[""https://www.semanticscholar.org/paper/ed9db7b20e019cdb1c7db8b7921221ee2d9f36e2""]"
,69,Recursive deep models for semantic compositionality over a sentiment treebank,2013,,,Proc. of EMNLP,"['R Socher', 'A Perelygin']","['R Socher', 'A Perelygin']",,,"[""https://www.semanticscholar.org/paper/687bac2d3320083eb4530bf18bb8f8f721477600""]"
,70,Learning question classifiers,2002,,,Proc. of COLING,"['X Li', 'D Roth']","['X Li', 'D Roth']",,,"[""https://www.semanticscholar.org/paper/2c8ac3e1f0edeed1fbd76813e61efdc384c319c7""]"
,71,A large annotated corpus for learning natural language inference,2015,,,Proc. of EMNLP,"['S R Bowman', 'G Angeli', 'C Potts', 'C D Manning']","['S R Bowman', 'G Angeli', 'C Potts', 'C D Manning']",https://arxiv.org/abs/1508.05326,http://arxiv.org/pdf/1508.05326v1,"[""http://arxiv.org/abs/1508.05326v1""]"
,72,Learning word vectors for sentiment analysis,2011,,,Proc. of ACL,"['A Maas', 'R E Daly']","['A Maas', 'R E Daly']",,,"[""https://www.semanticscholar.org/paper/1c61f9ef06fe74505775a833ff849185757199e7""]"
1509.01626,73,Character-level convolutional networks for text classification,2015,,1509.01626,Proc. of NeurIPS,"['X Zhang', 'J Zhao', 'Y Lecun']","['X Zhang', 'J Zhao', 'Y Lecun']",https://arxiv.org/abs/1509.01626,http://arxiv.org/pdf/1509.01626v3,"[""http://arxiv.org/abs/1509.01626v3""]"
,74,Collective classification in network data,2008,,,AI magazine,"['P Sen', 'G Namata']","['P Sen', 'G Namata']",,https://ojs.aaai.org/index.php/aimagazine/article/download/2157/2022,"[""https://www.semanticscholar.org/paper/43d2ed5c3c55c1100450cd74dc1031afa24d37b2"", ""https://ojs.aaai.org/index.php/aimagazine/article/download/2157/2022""]"
1609.08675,75,Youtube-8m: A large-scale video classification benchmark,2016,,1609.08675,Youtube-8m: A large-scale video classification benchmark,"['S Abu-El-Haija', 'N Kothari']","['S Abu-El-Haija', 'N Kothari']",https://arxiv.org/abs/1609.08675,http://arxiv.org/pdf/1609.08675v1,"[""http://arxiv.org/abs/1609.08675v1""]"
,76,"Mimic-iii, a freely accessible critical care database",2016,,,Scientific data,"['A E Johnson', 'T J Pollard']","['A E Johnson', 'T J Pollard']",https://www.nature.com/articles/sdata201635,https://www.nature.com/articles/sdata201635.pdf,"[""https://www.semanticscholar.org/paper/95cd83603a0d2b6918a8e34a5637a8f382da96f5"", ""https://www.nature.com/articles/sdata201635.pdf""]"
,77,Activeanno: General-purpose document-level annotation tool with active learning integration,2021,,,Proc. of NAACL,"['M Wiechmann', 'S Yimam']","['M Wiechmann', 'S Yimam']",,,[]
,78,Redal: Region-based and diversity-aware active learning for point cloud semantic segmentation,2021,,,Proc. of ICCV,"['T Wu', 'Y Liu']","['T Wu', 'Y Liu']",https://arxiv.org/abs/2107.11769,http://arxiv.org/pdf/2107.11769v3,"[""http://arxiv.org/abs/2107.11769v3"", ""http://arxiv.org/pdf/2107.11769v3""]"
,79,Targeted active learning for object detection with rare classes and slices using submodular mutual information,2022,,,Proc. of ECCV,"['S Kothawade', 'S Ghosh']","['S Kothawade', 'S Ghosh']",https://arxiv.org/abs/2112.00166,http://arxiv.org/pdf/2112.00166v2,"[""http://arxiv.org/abs/2112.00166v2"", ""http://arxiv.org/pdf/2112.00166v2""]"
,80,Towards fewer annotations: Active learning via region impurity and prediction uncertainty for domain adaptive semantic segmentation,2022,,,Proc. of CVPR,"['B Xie', 'L Yuan']","['B Xie', 'L Yuan']",https://arxiv.org/abs/2111.12940,https://arxiv.org/pdf/2111.12940,"[""http://arxiv.org/abs/2111.12940"", ""https://arxiv.org/pdf/2111.12940""]"
,81,Active multilabel crowd consensus,2021,,,IEEE Trans. Neural Networks Learn. Syst,"['G Yu', 'J Tu', 'J Wang', 'C Domeniconi', 'X Zhang']","['G Yu', 'J Tu', 'J Wang', 'C Domeniconi', 'X Zhang']",https://arxiv.org/abs/1911.02789,http://arxiv.org/pdf/1911.02789v1,"[""http://arxiv.org/abs/1911.02789v1"", ""http://arxiv.org/pdf/1911.02789v1""]"
,82,Supporting land reuse of former open pit mining sites using text classification and active learning,2021,,,Proc. of ACL,"['C Schröder', 'K Bürgl']","['C Schröder', 'K Bürgl']",,,"[""https://doi.org/10.18653/v1/2021.acl-long.320"", ""https://aclanthology.org/2021.acl-long.320.pdf""]"
,83,Active learning with query generation for cost-effective text classification,2020,,,Proc. of AAAI,"['Y Yan', 'S Huang']","['Y Yan', 'S Huang']",,https://ojs.aaai.org/index.php/AAAI/article/download/6133/5989,"[""https://doi.org/10.1609/aaai.v34i04.6133"", ""https://ojs.aaai.org/index.php/AAAI/article/download/6133/5989""]"
