ref_id,ref_number,title,year,doi,arxiv_id,venue,first_author,authors,article_url,pdf_url,additional_urls
,140,Dialog policy learning for joint clarification and active learning queries,2021,,,Proc. of AAAI,"['A Padmakumar', 'R J Mooney']","['A Padmakumar', 'R J Mooney']",https://arxiv.org/abs/2006.05456,http://arxiv.org/pdf/2006.05456v3,"[""http://arxiv.org/abs/2006.05456v3"", ""http://arxiv.org/pdf/2006.05456v3""]"
,141,Subsequence based deep active learning for named entity recognition,2021,,,Proc. of ACL,"['P Radmard', 'Y Fathullah', 'A Lipani']","['P Radmard', 'Y Fathullah', 'A Lipani']",https://aclanthology.org/2021.acl-long.332,https://aclanthology.org/2021.acl-long.332.pdf,"[""https://www.semanticscholar.org/paper/45303f4cdc54d27ed0b39753ef77ea3761d94870"", ""https://aclanthology.org/2021.acl-long.332.pdf""]"
,142,Efficient argument structure extraction with transfer learning and active learning,2022,,,Findings of ACL,"['X Hua', 'L Wang']","['X Hua', 'L Wang']",https://arxiv.org/abs/2204.00707,http://arxiv.org/pdf/2204.00707v1,"[""http://arxiv.org/abs/2204.00707v1"", ""http://arxiv.org/pdf/2204.00707v1""]"
,143,Active learning for deep semantic parsing,2018,,,Proc. of ACL,"['L Duong', 'H Afshar', 'D Estival', 'G Pink', 'P R Cohen', 'M Johnson']","['L Duong', 'H Afshar', 'D Estival', 'G Pink', 'P R Cohen', 'M Johnson']",,,"[""https://doi.org/10.18653/v1/p18-2008"", ""https://www.aclweb.org/anthology/P18-2008.pdf""]"
,144,The best of both worlds: Combining human and machine translations for multilingual semantic parsing with active learning,2023,,,Proc. of ACL,"['Z Li', 'L Qu', 'P R Cohen', 'R Tumuluri', 'G Haffari']","['Z Li', 'L Qu', 'P R Cohen', 'R Tumuluri', 'G Haffari']",https://arxiv.org/abs/2305.12737,http://arxiv.org/pdf/2305.12737v1,"[""http://arxiv.org/abs/2305.12737v1"", ""http://arxiv.org/pdf/2305.12737v1""]"
,145,Structural semantic adversarial active learning for image captioning,2020,,,Proc. of MM. ACM,"['B Zhang', 'L Li', 'L Su', 'S Wang', 'J Deng', 'Z Zha', 'Q Huang']","['B Zhang', 'L Li', 'L Su', 'S Wang', 'J Deng', 'Z Zha', 'Q Huang']",,,"[""https://www.semanticscholar.org/paper/4b0209f6fa41030e7e590f2cb5568f47563a759a""]"
,146,Active learning based framework for image captioning corpus creation,2020,,,Proc. of LION,"['M Cheikh', 'M Zrigui']","['M Cheikh', 'M Zrigui']",,,[]
,147,Geometry in active learning for binary and multi-class image segmentation,2019,,,Comput. Vis. Image Underst,"['K Konyushkova', 'R Sznitman', 'P Fua']","['K Konyushkova', 'R Sznitman', 'P Fua']",,,[]
,148,CPRAL: collaborative panoptic-regional active learning for semantic segmentation,2022,,,Proc. of AAAI,"['Y Qiao', 'J Zhu']","['Y Qiao', 'J Zhu']",https://arxiv.org/abs/2112.05975,http://arxiv.org/pdf/2112.05975v2,"[""http://arxiv.org/abs/2112.05975v2"", ""http://arxiv.org/pdf/2112.05975v2""]"
,149,Entropy-based active learning for object detection with progressive diversity constraint,2022,,,Proc. of CVPR,"['J Wu', 'J Chen', 'D Huang']","['J Wu', 'J Chen', 'D Huang']",https://arxiv.org/abs/2204.07965,https://arxiv.org/pdf/2204.07965,"[""http://arxiv.org/abs/2204.07965"", ""https://arxiv.org/pdf/2204.07965""]"
