subject,predicate,object,doc_id,chunk_id,score,cq_id
http://example.org/kg/cq/CQ_S0_R1_0034,http://example.org/kg/supportedBy,http://example.org/kg/chunk/177-2005_07402v1_rag__chunk_002,177-2005.07402v1_rag,177-2005.07402v1_rag::chunk_002,0.7671700716018677,CQ_S0_R1_0034
http://example.org/kg/cq/CQ_S0_R1_0034,http://example.org/kg/supportedBy,http://example.org/kg/chunk/201-2202_02794v4_rag__chunk_002,201-2202.02794v4_rag,201-2202.02794v4_rag::chunk_002,0.7630737125873566,CQ_S0_R1_0034
http://example.org/kg/cq/CQ_S0_R1_0034,http://example.org/kg/supportedBy,http://example.org/kg/chunk/127-1909_03585v1_rag__chunk_014,127-1909.03585v1_rag,127-1909.03585v1_rag::chunk_014,0.7623671591281891,CQ_S0_R1_0034
http://example.org/kg/cq/CQ_S0_R1_0025,http://example.org/kg/supportedBy,http://example.org/kg/chunk/22-2203_13450v3_rag__chunk_002,22-2203.13450v3_rag,22-2203.13450v3_rag::chunk_002,0.8306241035461426,CQ_S0_R1_0025
http://example.org/kg/cq/CQ_S0_R1_0025,http://example.org/kg/supportedBy,http://example.org/kg/chunk/26-2009_00236v2_rag__chunk_004,26-2009.00236v2_rag,26-2009.00236v2_rag::chunk_004,0.8262286186218262,CQ_S0_R1_0025
http://example.org/kg/cq/CQ_S0_R1_0025,http://example.org/kg/supportedBy,http://example.org/kg/chunk/26-2009_00236v2_rag__chunk_021,26-2009.00236v2_rag,26-2009.00236v2_rag::chunk_021,0.819999098777771,CQ_S0_R1_0025
http://example.org/kg/cq/CQ_S0_R1_0025,http://example.org/kg/supportedBy,http://example.org/kg/chunk/22-2203_13450v3_rag__chunk_006,22-2203.13450v3_rag,22-2203.13450v3_rag::chunk_006,0.819037139415741,CQ_S0_R1_0025
http://example.org/kg/cq/CQ_S0_R1_0025,http://example.org/kg/supportedBy,http://example.org/kg/chunk/26-2009_00236v2_rag__chunk_016,26-2009.00236v2_rag,26-2009.00236v2_rag::chunk_016,0.8172368109226227,CQ_S0_R1_0025
http://example.org/kg/cq/CQ_S0_R1_0040,http://example.org/kg/supportedBy,http://example.org/kg/chunk/150-2104_02324v1_rag__chunk_005,150-2104.02324v1_rag,150-2104.02324v1_rag::chunk_005,0.801384836435318,CQ_S0_R1_0040
http://example.org/kg/cq/CQ_S0_R1_0040,http://example.org/kg/supportedBy,http://example.org/kg/chunk/150-2104_02324v1_rag__chunk_006,150-2104.02324v1_rag,150-2104.02324v1_rag::chunk_006,0.800335019826889,CQ_S0_R1_0040
http://example.org/kg/cq/CQ_S0_R1_0040,http://example.org/kg/supportedBy,http://example.org/kg/chunk/25-mathematics-11-00820_rag__chunk_021,25-mathematics-11-00820_rag,25-mathematics-11-00820_rag::chunk_021,0.7996967434883118,CQ_S0_R1_0040
http://example.org/kg/cq/CQ_S0_R1_0040,http://example.org/kg/supportedBy,http://example.org/kg/chunk/192-socialcom2011-rahuls_rag__chunk_004,192-socialcom2011-rahuls_rag,192-socialcom2011-rahuls_rag::chunk_004,0.7990445494651794,CQ_S0_R1_0040
http://example.org/kg/cq/CQ_S0_R1_0040,http://example.org/kg/supportedBy,http://example.org/kg/chunk/44-1710_02584v1_rag__chunk_008,44-1710.02584v1_rag,44-1710.02584v1_rag::chunk_008,0.7956493198871613,CQ_S0_R1_0040
http://example.org/kg/cq/CQ_S0_R1_0047,http://example.org/kg/supportedBy,http://example.org/kg/chunk/22-2203_13450v3_rag__chunk_006,22-2203.13450v3_rag,22-2203.13450v3_rag::chunk_006,0.8146388828754425,CQ_S0_R1_0047
http://example.org/kg/cq/CQ_S0_R1_0047,http://example.org/kg/supportedBy,http://example.org/kg/chunk/22-2203_13450v3_rag__chunk_002,22-2203.13450v3_rag,22-2203.13450v3_rag::chunk_002,0.8109489977359772,CQ_S0_R1_0047
http://example.org/kg/cq/CQ_S0_R1_0047,http://example.org/kg/supportedBy,http://example.org/kg/chunk/22-2203_13450v3_rag__chunk_016,22-2203.13450v3_rag,22-2203.13450v3_rag::chunk_016,0.8075336515903473,CQ_S0_R1_0047
http://example.org/kg/cq/CQ_S0_R1_0047,http://example.org/kg/supportedBy,http://example.org/kg/chunk/22-2203_13450v3_rag__chunk_003,22-2203.13450v3_rag,22-2203.13450v3_rag::chunk_003,0.8073521256446838,CQ_S0_R1_0047
http://example.org/kg/cq/CQ_S0_R1_0047,http://example.org/kg/supportedBy,http://example.org/kg/chunk/26-2009_00236v2_rag__chunk_033,26-2009.00236v2_rag,26-2009.00236v2_rag::chunk_033,0.8072425127029419,CQ_S0_R1_0047
http://example.org/kg/cq/CQ_S0_R1_0028,http://example.org/kg/supportedBy,http://example.org/kg/chunk/104-1809_10565v1_rag__chunk_000,104-1809.10565v1_rag,104-1809.10565v1_rag::chunk_000,0.8255381882190704,CQ_S0_R1_0028
http://example.org/kg/cq/CQ_S0_R1_0028,http://example.org/kg/supportedBy,http://example.org/kg/chunk/25-mathematics-11-00820_rag__chunk_002,25-mathematics-11-00820_rag,25-mathematics-11-00820_rag::chunk_002,0.8131682872772217,CQ_S0_R1_0028
http://example.org/kg/cq/CQ_S0_R1_0028,http://example.org/kg/supportedBy,http://example.org/kg/chunk/127-1909_03585v1_rag__chunk_016,127-1909.03585v1_rag,127-1909.03585v1_rag::chunk_016,0.8129839301109314,CQ_S0_R1_0028
http://example.org/kg/cq/CQ_S0_R1_0028,http://example.org/kg/supportedBy,http://example.org/kg/chunk/32-21378-Article_Text-25391-1-2-20220628_rag__chunk_010,32-21378-Article Text-25391-1-2-20220628_rag,32-21378-Article Text-25391-1-2-20220628_rag::chunk_010,0.8124624490737915,CQ_S0_R1_0028
http://example.org/kg/cq/CQ_S0_R1_0028,http://example.org/kg/supportedBy,http://example.org/kg/chunk/24-active-survey_rag__chunk_006,24-active-survey_rag,24-active-survey_rag::chunk_006,0.8111079037189484,CQ_S0_R1_0028
http://example.org/kg/cq/CQ_S0_R1_0005,http://example.org/kg/supportedBy,http://example.org/kg/chunk/25-mathematics-11-00820_rag__chunk_009,25-mathematics-11-00820_rag,25-mathematics-11-00820_rag::chunk_009,0.8560561537742615,CQ_S0_R1_0005
http://example.org/kg/cq/CQ_S0_R1_0005,http://example.org/kg/supportedBy,http://example.org/kg/chunk/24-active-survey_rag__chunk_002,24-active-survey_rag,24-active-survey_rag::chunk_002,0.8513681590557098,CQ_S0_R1_0005
http://example.org/kg/cq/CQ_S0_R1_0005,http://example.org/kg/supportedBy,http://example.org/kg/chunk/20-2211_14819v2_rag__chunk_002,20-2211.14819v2_rag,20-2211.14819v2_rag::chunk_002,0.8377912640571594,CQ_S0_R1_0005
http://example.org/kg/cq/CQ_S0_R1_0005,http://example.org/kg/supportedBy,http://example.org/kg/chunk/26-2009_00236v2_rag__chunk_004,26-2009.00236v2_rag,26-2009.00236v2_rag::chunk_004,0.8352653980255127,CQ_S0_R1_0005
http://example.org/kg/cq/CQ_S0_R1_0005,http://example.org/kg/supportedBy,http://example.org/kg/chunk/25-mathematics-11-00820_rag__chunk_008,25-mathematics-11-00820_rag,25-mathematics-11-00820_rag::chunk_008,0.8349495530128479,CQ_S0_R1_0005
http://example.org/kg/cq/CQ_S0_R1_0001,http://example.org/kg/supportedBy,http://example.org/kg/chunk/48-1904_11643v1_rag__chunk_005,48-1904.11643v1_rag,48-1904.11643v1_rag::chunk_005,0.8131571710109711,CQ_S0_R1_0001
http://example.org/kg/cq/CQ_S0_R1_0001,http://example.org/kg/supportedBy,http://example.org/kg/chunk/103-2210_12704v1_rag__chunk_003,103-2210.12704v1_rag,103-2210.12704v1_rag::chunk_003,0.8040626645088196,CQ_S0_R1_0001
http://example.org/kg/cq/CQ_S0_R1_0001,http://example.org/kg/supportedBy,http://example.org/kg/chunk/48-1904_11643v1_rag__chunk_008,48-1904.11643v1_rag,48-1904.11643v1_rag::chunk_008,0.8037575483322144,CQ_S0_R1_0001
http://example.org/kg/cq/CQ_S0_R1_0001,http://example.org/kg/supportedBy,http://example.org/kg/chunk/141-2021_acl-long_332_rag__chunk_003,141-2021.acl-long.332_rag,141-2021.acl-long.332_rag::chunk_003,0.803714394569397,CQ_S0_R1_0001
http://example.org/kg/cq/CQ_S0_R1_0001,http://example.org/kg/supportedBy,http://example.org/kg/chunk/35-1703_02910v1_rag__chunk_007,35-1703.02910v1_rag,35-1703.02910v1_rag::chunk_007,0.8028740286827087,CQ_S0_R1_0001
http://example.org/kg/cq/CQ_S0_R1_0037,http://example.org/kg/supportedBy,http://example.org/kg/chunk/17-2310_14230v3_rag__chunk_021,17-2310.14230v3_rag,17-2310.14230v3_rag::chunk_021,0.7982083559036255,CQ_S0_R1_0037
http://example.org/kg/cq/CQ_S0_R1_0037,http://example.org/kg/supportedBy,http://example.org/kg/chunk/182-2106_02968v4_rag__chunk_027,182-2106.02968v4_rag,182-2106.02968v4_rag::chunk_027,0.7967463731765747,CQ_S0_R1_0037
http://example.org/kg/cq/CQ_S0_R1_0037,http://example.org/kg/supportedBy,http://example.org/kg/chunk/182-2106_02968v4_rag__chunk_037,182-2106.02968v4_rag,182-2106.02968v4_rag::chunk_037,0.7838357090950012,CQ_S0_R1_0037
http://example.org/kg/cq/CQ_S0_R1_0037,http://example.org/kg/supportedBy,http://example.org/kg/chunk/17-2310_14230v3_rag__chunk_022,17-2310.14230v3_rag,17-2310.14230v3_rag::chunk_022,0.7821948528289795,CQ_S0_R1_0037
http://example.org/kg/cq/CQ_S0_R1_0037,http://example.org/kg/supportedBy,http://example.org/kg/chunk/14-Peng_Active_Learning_for_Lane_Detection_A_Knowledge_Distillation_Approach_ICCV_2021_paper_rag__chunk_008,14-Peng_Active_Learning_for_Lane_Detection_A_Knowledge_Distillation_Approach_ICCV_2021_paper_rag,14-Peng_Active_Learning_for_Lane_Detection_A_Knowledge_Distillation_Approach_ICCV_2021_paper_rag::chunk_008,0.7783026993274689,CQ_S0_R1_0037
http://example.org/kg/cq/CQ_S0_R1_0022,http://example.org/kg/supportedBy,http://example.org/kg/chunk/35-1703_02910v1_rag__chunk_008,35-1703.02910v1_rag,35-1703.02910v1_rag::chunk_008,0.8432650566101074,CQ_S0_R1_0022
http://example.org/kg/cq/CQ_S0_R1_0022,http://example.org/kg/supportedBy,http://example.org/kg/chunk/35-1703_02910v1_rag__chunk_007,35-1703.02910v1_rag,35-1703.02910v1_rag::chunk_007,0.8387895822525024,CQ_S0_R1_0022
http://example.org/kg/cq/CQ_S0_R1_0022,http://example.org/kg/supportedBy,http://example.org/kg/chunk/113-2111_02275v2_rag__chunk_007,113-2111.02275v2_rag,113-2111.02275v2_rag::chunk_007,0.8379684686660767,CQ_S0_R1_0022
http://example.org/kg/cq/CQ_S0_R1_0022,http://example.org/kg/supportedBy,http://example.org/kg/chunk/113-2111_02275v2_rag__chunk_012,113-2111.02275v2_rag,113-2111.02275v2_rag::chunk_012,0.8318020701408386,CQ_S0_R1_0022
http://example.org/kg/cq/CQ_S0_R1_0022,http://example.org/kg/supportedBy,http://example.org/kg/chunk/113-2111_02275v2_rag__chunk_006,113-2111.02275v2_rag,113-2111.02275v2_rag::chunk_006,0.8295435905456543,CQ_S0_R1_0022
http://example.org/kg/cq/CQ_S0_R1_0010,http://example.org/kg/supportedBy,http://example.org/kg/chunk/60-2022_findings-emnlp_235_rag__chunk_003,60-2022.findings-emnlp.235_rag,60-2022.findings-emnlp.235_rag::chunk_003,0.8338767290115356,CQ_S0_R1_0010
http://example.org/kg/cq/CQ_S0_R1_0010,http://example.org/kg/supportedBy,http://example.org/kg/chunk/60-2022_findings-emnlp_235_rag__chunk_006,60-2022.findings-emnlp.235_rag,60-2022.findings-emnlp.235_rag::chunk_006,0.8134801983833313,CQ_S0_R1_0010
http://example.org/kg/cq/CQ_S0_R1_0010,http://example.org/kg/supportedBy,http://example.org/kg/chunk/60-2022_findings-emnlp_235_rag__chunk_004,60-2022.findings-emnlp.235_rag,60-2022.findings-emnlp.235_rag::chunk_004,0.8012511432170868,CQ_S0_R1_0010
http://example.org/kg/cq/CQ_S0_R1_0010,http://example.org/kg/supportedBy,http://example.org/kg/chunk/102-2203_07034v1_rag__chunk_003,102-2203.07034v1_rag,102-2203.07034v1_rag::chunk_003,0.7983168065547943,CQ_S0_R1_0010
